pc_outcome,gp_con_time,avoid_att
contact_12,no,0.08854166666666667
contact_12,yes,0.14285714285714285
contact_2,no,0.06503461918892187
contact_2,yes,0.10766423357664233
contact_24,no,0.09973753280839895
contact_24,yes,0.11940298507462686
contact_6,no,0.07566999474513926
contact_6,yes,0.1358695652173913
contact_72,no,0.09868421052631579
contact_72,yes,0.2
speak_1,no,0.06475583864118896
speak_1,yes,0.07788944723618091
speak_12,no,0.10666666666666667
speak_12,yes,0
speak_2,no,0.0817490494296578
speak_2,yes,0.029411764705882353
speak_24,no,0.15384615384615385
speak_24,yes,0.2222222222222222
speak_6,no,0.09239130434782608
speak_6,yes,0.07894736842105263
