day,hour,P_ID
Sun,0,252
Sun,1,180
Sun,2,164
Sun,3,117
Sun,4,128
Sun,5,144
Sun,6,241
Sun,7,397
Sun,8,780
Sun,9,1107
Sun,10,1171
Sun,11,1274
Sun,12,1126
Sun,13,1027
Sun,14,899
Sun,15,858
Sun,16,800
Sun,17,764
Sun,18,678
Sun,19,651
Sun,20,580
Sun,21,473
Sun,22,382
Sun,23,269
Mon,0,203
Mon,1,131
Mon,2,93
Mon,3,98
Mon,4,113
Mon,5,106
Mon,6,135
Mon,7,230
Mon,8,541
Mon,9,638
Mon,10,631
Mon,11,578
Mon,12,494
Mon,13,500
Mon,14,479
Mon,15,432
Mon,16,448
Mon,17,393
Mon,18,738
Mon,19,685
Mon,20,583
Mon,21,491
Mon,22,371
Mon,23,241
Tue,0,198
Tue,1,122
Tue,2,119
Tue,3,99
Tue,4,96
Tue,5,72
Tue,6,124
Tue,7,228
Tue,8,345
Tue,9,421
Tue,10,467
Tue,11,410
Tue,12,378
Tue,13,417
Tue,14,363
Tue,15,342
Tue,16,337
Tue,17,342
Tue,18,703
Tue,19,600
Tue,20,587
Tue,21,510
Tue,22,363
Tue,23,259
Wed,0,181
Wed,1,149
Wed,2,125
Wed,3,97
Wed,4,72
Wed,5,89
Wed,6,116
Wed,7,175
Wed,8,339
Wed,9,384
Wed,10,398
Wed,11,405
Wed,12,326
Wed,13,344
Wed,14,359
Wed,15,365
Wed,16,364
Wed,17,336
Wed,18,657
Wed,19,594
Wed,20,609
Wed,21,486
Wed,22,379
Wed,23,275
Thu,0,181
Thu,1,126
Thu,2,98
Thu,3,100
Thu,4,80
Thu,5,85
Thu,6,144
Thu,7,167
Thu,8,304
Thu,9,360
Thu,10,406
Thu,11,379
Thu,12,308
Thu,13,298
Thu,14,370
Thu,15,355
Thu,16,348
Thu,17,310
Thu,18,670
Thu,19,617
Thu,20,508
Thu,21,454
Thu,22,337
Thu,23,275
Fri,0,199
Fri,1,139
Fri,2,110
Fri,3,99
Fri,4,84
Fri,5,92
Fri,6,128
Fri,7,183
Fri,8,343
Fri,9,397
Fri,10,445
Fri,11,399
Fri,12,383
Fri,13,362
Fri,14,407
Fri,15,365
Fri,16,375
Fri,17,336
Fri,18,792
Fri,19,694
Fri,20,612
Fri,21,556
Fri,22,448
Fri,23,347
Sat,0,209
Sat,1,166
Sat,2,141
Sat,3,131
Sat,4,139
Sat,5,134
Sat,6,238
Sat,7,469
Sat,8,943
Sat,9,1256
Sat,10,1304
Sat,11,1379
Sat,12,1161
Sat,13,1132
Sat,14,981
Sat,15,917
Sat,16,887
Sat,17,858
Sat,18,784
Sat,19,699
Sat,20,610
Sat,21,593
Sat,22,475
Sat,23,400
