activity,quarter,count,data
999,1,886,cYorkshire2021
999,2,1085,cYorkshire2021
999,3,719,cYorkshire2021
999,4,744,cYorkshire2021
ED,1,2874,cYorkshire2021
ED,2,3715,cYorkshire2021
ED,3,2764,cYorkshire2021
ED,4,2921,cYorkshire2021
GP,1,6104,cYorkshire2021
GP,2,8451,cYorkshire2021
GP,3,5827,cYorkshire2021
GP,4,8377,cYorkshire2021
IP,1,1366,cYorkshire2021
IP,2,1535,cYorkshire2021
IP,3,1034,cYorkshire2021
IP,4,1285,cYorkshire2021
IUC,1,1293,cYorkshire2021
IUC,2,1711,cYorkshire2021
IUC,3,1211,cYorkshire2021
IUC,4,1323,cYorkshire2021
