source,target,counts2
999_1,999_2,296
999_1,ED_2,700
999_1,End_2,142
999_1,GP_2,21
999_1,IP_2,33
999_1,IUC_2,33
999_2,999_3,237
999_2,ED_3,621
999_2,End_3,140
999_2,GP_3,31
999_2,IP_3,50
999_2,IUC_3,17
999_3,999_4,129
999_3,ED_4,295
999_3,End_4,91
999_3,GP_4,23
999_3,IP_4,28
999_3,IUC_4,18
999_4,999_5,64
999_4,ED_5,117
999_4,End_5,48
999_4,GP_5,10
999_4,IP_5,21
999_4,IUC_5,16
999_5,999_6,30
999_5,ED_6,70
999_5,End_6,28
999_5,GP_6,10
999_5,IP_6,8
999_5,IUC_6,2
999_6,999_7,14
999_6,ED_7,23
999_6,End_7,13
999_6,GP_7,2
999_6,IP_7,2
999_6,IUC_7,1
999_7,999_8,5
999_7,ED_8,13
999_7,End_8,9
999_7,GP_8,3
999_7,IP_8,1
999_7,IUC_8,3
999_8,999_9,4
999_8,ED_9,1
999_8,End_9,1
999_8,IUC_9,1
999_9,ED_10,3
999_9,End_10,5
999_9,IUC_10,1
ED_1,999_2,57
ED_1,ED_2,207
ED_1,End_2,4436
ED_1,GP_2,261
ED_1,IP_2,1397
ED_1,IUC_2,131
ED_10,End_11,2
ED_10,IP_11,1
ED_10,IUC_11,2
ED_2,999_3,58
ED_2,ED_3,87
ED_2,End_3,1977
ED_2,GP_3,206
ED_2,IP_3,1044
ED_2,IUC_3,76
ED_3,999_4,30
ED_3,ED_4,32
ED_3,End_4,725
ED_3,GP_4,85
ED_3,IP_4,519
ED_3,IUC_4,30
ED_4,999_5,17
ED_4,ED_5,13
ED_4,End_5,260
ED_4,GP_5,39
ED_4,IP_5,200
ED_4,IUC_5,16
ED_5,999_6,4
ED_5,ED_6,6
ED_5,End_6,85
ED_5,GP_6,19
ED_5,IP_6,78
ED_5,IUC_6,7
ED_6,999_7,5
ED_6,ED_7,2
ED_6,End_7,46
ED_6,GP_7,4
ED_6,IP_7,45
ED_6,IUC_7,3
ED_7,ED_8,1
ED_7,End_8,18
ED_7,GP_8,2
ED_7,IP_8,14
ED_7,IUC_8,2
ED_8,999_9,1
ED_8,ED_9,2
ED_8,End_9,4
ED_8,GP_9,1
ED_8,IP_9,10
ED_8,IUC_9,1
ED_9,End_10,2
ED_9,IP_10,3
ED_9,IUC_10,1
GP_1,999_2,362
GP_1,ED_2,1826
GP_1,End_2,11936
GP_1,GP_2,4876
GP_1,IP_2,383
GP_1,IUC_2,675
GP_10,End_11,3
GP_10,GP_11,4
GP_11,End_12,1
GP_11,GP_12,3
GP_12,End_13,3
GP_2,999_3,120
GP_2,ED_3,469
GP_2,End_3,3709
GP_2,GP_3,1192
GP_2,IP_3,154
GP_2,IUC_3,217
GP_3,999_4,47
GP_3,ED_4,133
GP_3,End_4,1093
GP_3,GP_4,359
GP_3,IP_4,60
GP_3,IUC_4,73
GP_4,999_5,27
GP_4,ED_5,39
GP_4,End_5,349
GP_4,GP_5,140
GP_4,IP_5,33
GP_4,IUC_5,25
GP_5,999_6,5
GP_5,ED_6,14
GP_5,End_6,133
GP_5,GP_6,59
GP_5,IP_6,22
GP_5,IUC_6,17
GP_6,999_7,2
GP_6,ED_7,6
GP_6,End_7,68
GP_6,GP_7,30
GP_6,IP_7,6
GP_6,IUC_7,5
GP_7,ED_8,4
GP_7,End_8,21
GP_7,GP_8,13
GP_7,IP_8,2
GP_7,IUC_8,3
GP_8,999_9,1
GP_8,ED_9,1
GP_8,End_9,7
GP_8,GP_9,13
GP_8,IP_9,1
GP_9,End_10,8
GP_9,GP_10,7
Index_IUC_1,999_1,1225
Index_IUC_1,ED_1,6489
Index_IUC_1,End_1,38809
Index_IUC_1,GP_1,20058
Index_IUC_1,IP_1,813
Index_IUC_1,IUC_1,3527
IP_1,999_2,9
IP_1,ED_2,66
IP_1,End_2,665
IP_1,GP_2,17
IP_1,IP_2,52
IP_1,IUC_2,4
IP_10,End_11,3
IP_11,End_12,1
IP_2,999_3,9
IP_2,ED_3,33
IP_2,End_3,1690
IP_2,GP_3,48
IP_2,IP_3,114
IP_2,IUC_3,12
IP_3,999_4,9
IP_3,ED_4,15
IP_3,End_4,1261
IP_3,GP_4,32
IP_3,IP_4,44
IP_3,IUC_4,7
IP_4,999_5,6
IP_4,ED_5,4
IP_4,End_5,607
IP_4,GP_5,18
IP_4,IP_5,15
IP_4,IUC_5,5
IP_5,999_6,2
IP_5,ED_6,3
IP_5,End_6,247
IP_5,GP_6,8
IP_5,IP_6,8
IP_5,IUC_6,3
IP_6,999_7,2
IP_6,ED_7,1
IP_6,End_7,109
IP_6,GP_7,2
IP_6,IP_7,2
IP_7,End_8,56
IP_7,GP_8,2
IP_8,End_9,16
IP_8,IP_9,1
IP_9,ED_10,1
IP_9,End_10,11
IUC_1,999_2,372
