source,target,Type,Id,weight,SourceName,TargetName,AllProb,quarter,ProbGPNo,ProbGPYes
0,0,Directed,0,74,999,999,0.1143740340030912,1,0.12373225152129817,0.08441558441558442
0,1,Directed,1,296,999,ED,0.4574961360123648,1,0.4482758620689655,0.487012987012987
0,3,Directed,2,43,999,GP,0.06646058732612056,1,0.060851926977687626,0.08441558441558442
0,4,Directed,3,119,999,IP,0.1839258114374034,1,0.1845841784989858,0.18181818181818182
0,5,Directed,4,12,999,IUC,0.01854714064914992,1,0.02028397565922921,0.012987012987012988
0,2,Directed,5,103,999,End,0.15919629057187018,1,0.16227180527383367,0.14935064935064934
0,0,Directed,6,90,999,999,0.11235955056179775,2,0.11198738170347003,0.11377245508982035
0,1,Directed,7,398,999,ED,0.4968789013732834,2,0.5031545741324921,0.47305389221556887
0,3,Directed,8,37,999,GP,0.046192259675405745,2,0.04258675078864353,0.059880239520958084
0,4,Directed,9,150,999,IP,0.18726591760299627,2,0.17350157728706625,0.23952095808383234
0,5,Directed,10,22,999,IUC,0.02746566791510612,2,0.031545741324921134,0.011976047904191617
0,2,Directed,11,104,999,End,0.12983770287141075,2,0.13722397476340695,0.10179640718562874
0,0,Directed,12,74,999,999,0.1267123287671233,3,0.1299559471365639,0.11538461538461539
0,1,Directed,13,271,999,ED,0.464041095890411,3,0.44493392070484583,0.5307692307692308
0,3,Directed,14,28,999,GP,0.04794520547945205,3,0.04405286343612335,0.06153846153846154
0,4,Directed,15,96,999,IP,0.1643835616438356,3,0.17400881057268722,0.13076923076923078
0,5,Directed,16,9,999,IUC,0.015410958904109588,3,0.019823788546255508,0
0,2,Directed,17,106,999,End,0.1815068493150685,3,0.18722466960352424,0.16153846153846155
0,0,Directed,18,70,999,999,0.11844331641285956,4,0.13725490196078433,0.05303030303030303
0,1,Directed,19,273,999,ED,0.4619289340101523,4,0.4444444444444444,0.5227272727272727
0,3,Directed,20,35,999,GP,0.05922165820642978,4,0.06318082788671024,0.045454545454545456
0,4,Directed,21,123,999,IP,0.20812182741116753,4,0.19172113289760348,0.26515151515151514
0,5,Directed,22,10,999,IUC,0.01692047377326565,4,0.017429193899782137,0.015151515151515152
0,2,Directed,23,80,999,End,0.1353637901861252,4,0.14596949891067537,0.09848484848484848
1,0,Directed,24,12,ED,999,0.005708848715509039,1,0.0032701111837802484,0.012216404886561954
1,1,Directed,25,47,ED,ED,0.02235965746907707,1,0.027468933943754086,0.008726003490401396
1,3,Directed,26,158,ED,GP,0.07516650808753568,1,0.07455853499018966,0.07678883071553229
1,4,Directed,27,685,ED,IP,0.3258801141769743,1,0.31785480706344016,0.3472949389179756
1,5,Directed,28,40,ED,IUC,0.019029495718363463,1,0.01896664486592544,0.019197207678883072
1,2,Directed,29,1160,ED,End,0.5518553758325404,1,0.5578809679529104,0.5357766143106457
1,0,Directed,30,29,ED,999,0.010638297872340425,2,0.011555127587867116,0.007704160246533128
1,1,Directed,31,76,ED,ED,0.027879677182685254,2,0.025036109773712085,0.03697996918335902
1,3,Directed,32,258,ED,GP,0.0946441672780631,2,0.09966297544535388,0.07858243451463791
1,4,Directed,33,807,ED,IP,0.29603815113719734,2,0.287915262397689,0.3220338983050847
1,5,Directed,34,52,ED,IUC,0.019075568598679385,2,0.019258545979778528,0.01848998459167951
1,2,Directed,35,1504,ED,End,0.5517241379310345,2,0.5565719788155994,0.5362095531587057
1,0,Directed,36,21,ED,999,0.009194395796847636,3,0.009269988412514484,0.008960573476702509
1,1,Directed,37,71,ED,ED,0.031085814360770576,3,0.031286210892236384,0.03046594982078853
1,3,Directed,38,211,ED,GP,0.09238178633975482,3,0.0921205098493627,0.0931899641577061
1,4,Directed,39,560,ED,IP,0.24518388791593695,3,0.2421784472769409,0.25448028673835127
1,5,Directed,40,39,ED,IUC,0.017075306479859893,3,0.019119351100811123,0.010752688172043012
1,2,Directed,41,1382,ED,End,0.6050788091068301,3,0.6060254924681344,0.6021505376344086
1,0,Directed,42,20,ED,999,0.009182736455463728,4,0.009685230024213076,0.0076045627376425855
1,1,Directed,43,71,ED,ED,0.032598714416896234,4,0.03571428571428571,0.022813688212927757
1,3,Directed,44,162,ED,GP,0.0743801652892562,4,0.07808716707021791,0.06273764258555133
1,4,Directed,45,642,ED,IP,0.29476584022038566,4,0.28753026634382567,0.31749049429657794
1,5,Directed,46,51,ED,IUC,0.023415977961432508,4,0.023002421307506054,0.024714828897338403
1,2,Directed,47,1232,ED,End,0.5656565656565656,4,0.5659806295399515,0.564638783269962
3,0,Directed,48,160,GP,999,0.020781919729835042,1,0.025914093006744764,0.017820565342072922
3,1,Directed,49,709,GP,ED,0.09208988180283154,1,0.08590699325523607,0.09565751741089717
3,3,Directed,50,1475,GP,GP,0.19158332250941681,1,0.2197373091941782,0.1753379762392462
3,4,Directed,51,214,GP,IP,0.02779581763865437,1,0.025204117855875046,0.029291274068004917
3,5,Directed,52,301,GP,IUC,0.03909598649175217,1,0.051118210862619806,0.032158951249487915
3,2,Directed,53,4840,GP,End,0.6286530718275101,1,0.5921192758253461,0.6497337156902908
3,0,Directed,54,189,GP,999,0.01790450928381963,2,0.01949472846628208,0.016458672454331705
3,1,Directed,55,939,GP,ED,0.08895414929897688,2,0.0867316490948876,0.09097485982998733
3,3,Directed,56,2296,GP,GP,0.21750663129973474,2,0.22339367415953848,0.21215409658166035
3,4,Directed,57,244,GP,IP,0.023114816218264493,2,0.024865725084543464,0.021522879363356846
3,5,Directed,58,398,GP,IUC,0.03770367563471012,2,0.03998408593594589,0.03563031289564116
3,2,Directed,59,6490,GP,End,0.6148162182644942,2,0.6055301372588024,0.6232591788750226
3,0,Directed,60,159,GP,999,0.015888877785550114,3,0.016822051074179164,0.0149812734082397
3,1,Directed,61,871,GP,ED,0.0870390726491456,3,0.08492095662748277,0.08909915237532032
3,3,Directed,62,2537,GP,GP,0.25352253422604176,3,0.26428860964734496,0.2430514488468362
3,4,Directed,63,194,GP,IP,0.019386429499350454,3,0.019862180786380218,0.018923713778829097
3,5,Directed,64,344,GP,IUC,0.03437593684420905,3,0.03364410214835833,0.03508771929824561
3,2,Directed,65,5902,GP,End,0.5897871489957031,3,0.5804620997162545,0.598856692292529
3,0,Directed,66,173,GP,999,0.016605874448070646,4,0.018465089440276975,0.014753784249856294
3,1,Directed,67,842,GP,ED,0.08082165482818199,4,0.08270821311790728,0.0789423261161142
3,3,Directed,68,2705,GP,GP,0.2596467652140526,4,0.2627428351606078,0.25656255987737114
3,4,Directed,69,250,GP,IP,0.023996928393165674,4,0.028659357568763224,0.019352366353707608
3,5,Directed,70,355,GP,IUC,0.03407563831829526,4,0.0315445277938065,0.03659704924315003
3,2,Directed,71,6093,GP,End,0.5848531387982339,4,0.5758799769186382,0.5937919141598007
6,0,Directed,72,218,Index_IUC,999,0.017319456582187972,1,0.017319456582187972,0.017319456582187972
6,1,Directed,73,884,Index_IUC,ED,0.07023119091125765,1,0.07023119091125765,0.07023119091125765
6,3,Directed,74,5630,Index_IUC,GP,0.44728688329228566,1,0.44728688329228566,0.44728688329228566
6,4,Directed,75,140,Index_IUC,IP,0.011122586795900532,1,0.011122586795900532,0.011122586795900532
6,5,Directed,76,561,Index_IUC,IUC,0.04456979423214428,1,0.04456979423214428,0.04456979423214428
6,2,Directed,77,5154,Index_IUC,End,0.4094700881862239,1,0.4094700881862239,0.4094700881862239
6,0,Directed,78,205,Index_IUC,999,0.01290363190029584,2,0.01290363190029584,0.01290363190029584
6,1,Directed,79,1144,Index_IUC,ED,0.0720085604582363,2,0.0720085604582363,0.0720085604582363
6,3,Directed,80,7400,Index_IUC,GP,0.46578963932775225,2,0.46578963932775225,0.46578963932775225
6,4,Directed,81,136,Index_IUC,IP,0.008560458236293825,2,0.008560458236293825,0.008560458236293825
6,5,Directed,82,804,Index_IUC,IUC,0.050607414867501734,2,0.050607414867501734,0.050607414867501734
6,2,Directed,83,6198,Index_IUC,End,0.39013029520992004,2,0.39013029520992004,0.39013029520992004
6,0,Directed,84,176,Index_IUC,999,0.012846715328467153,3,0.012846715328467153,0.012846715328467153
6,1,Directed,85,944,Index_IUC,ED,0.0689051094890511,3,0.0689051094890511,0.0689051094890511
6,3,Directed,86,6705,Index_IUC,GP,0.4894160583941606,3,0.4894160583941606,0.4894160583941606
6,4,Directed,87,131,Index_IUC,IP,0.009562043795620439,3,0.009562043795620439,0.009562043795620439
6,5,Directed,88,591,Index_IUC,IUC,0.04313868613138686,3,0.04313868613138686,0.04313868613138686
6,2,Directed,89,5153,Index_IUC,End,0.37613138686131387,3,0.37613138686131387,0.37613138686131387
6,0,Directed,90,140,Index_IUC,999,0.010051694428489374,4,0.010051694428489374,0.010051694428489374
6,1,Directed,91,831,Index_IUC,ED,0.05966398621481907,4,0.05966398621481907,0.05966398621481907
6,3,Directed,92,6955,Index_IUC,GP,0.4993538196438828,4,0.4993538196438828,0.4993538196438828
6,4,Directed,93,112,Index_IUC,IP,0.0080413555427915,4,0.0080413555427915,0.0080413555427915
6,5,Directed,94,646,Index_IUC,IUC,0.046381390005743824,4,0.046381390005743824,0.046381390005743824
6,2,Directed,95,5244,Index_IUC,End,0.3765077541642734,4,0.3765077541642734,0.3765077541642734
4,0,Directed,96,5,IP,999,0.004537205081669692,1,0.004037685060565276,0.005571030640668524
4,1,Directed,97,11,IP,ED,0.009981851179673321,1,0.010767160161507403,0.008356545961002786
4,3,Directed,98,33,IP,GP,0.029945553539019964,1,0.026917900403768506,0.036211699164345405
4,4,Directed,99,60,IP,IP,0.0544464609800363,1,0.05383580080753701,0.055710306406685235
4,5,Directed,100,4,IP,IUC,0.003629764065335753,1,0,0.011142061281337047
4,2,Directed,101,989,IP,End,0.8974591651542649,1,0.9044414535666218,0.883008356545961
4,0,Directed,102,5,IP,999,0.003918495297805642,2,0.003257328990228013,0.005633802816901409
4,1,Directed,103,20,IP,ED,0.01567398119122257,2,0.01737242128121607,0.011267605633802818
4,3,Directed,104,51,IP,GP,0.039968652037617555,2,0.04017372421281216,0.03943661971830986
4,4,Directed,105,70,IP,IP,0.054858934169279,2,0.05428881650380022,0.056338028169014086
4,5,Directed,106,9,IP,IUC,0.007053291536050157,2,0.006514657980456026,0.008450704225352112
4,2,Directed,107,1121,IP,End,0.8785266457680251,2,0.8783930510314875,0.8788732394366198
4,0,Directed,108,4,IP,999,0.004246284501061571,3,0.004316546762589928,0.004048582995951417
4,1,Directed,109,10,IP,ED,0.010615711252653927,3,0.008633093525179856,0.016194331983805668
4,3,Directed,110,42,IP,GP,0.044585987261146494,3,0.0460431654676259,0.04048582995951417
4,4,Directed,111,51,IP,IP,0.054140127388535034,3,0.05467625899280575,0.05263157894736842
