,source,target,Type,Id,weight,SourceName,TargetName,AllProb,quarter,ProbGPNo,ProbGPYes
0,0,0,Directed,0,190,999,999,0.21541950113378686,1,0.22559366754617413,0.1532258064516129
1,1,0,Directed,1,31,ED,999,0.010790114862513052,1,0.010892333472978634,0.0102880658436214
2,3,0,Directed,2,137,GP,999,0.02244429882044561,1,0.02725173210161663,0.019801980198019802
3,4,0,Directed,3,28,IP,999,0.0206794682422452,1,0.02490421455938697,0.0064516129032258064
4,5,0,Directed,4,147,IUC,999,0.1136890951276102,1,0.11101398601398602,0.1342281879194631
5,6,0,Directed,5,349,Index_IUC,999,0.021218385214007783,1,0.021218385214007783,0.021218385214007783
6,0,1,Directed,6,466,999,ED,0.528344671201814,1,0.5158311345646438,0.6048387096774194
7,1,1,Directed,7,67,ED,ED,0.023320570831883047,1,0.025555090071219103,0.012345679012345678
8,3,1,Directed,8,561,GP,ED,0.09190694626474442,1,0.08267898383371824,0.09697892866209698
9,4,1,Directed,9,65,IP,ED,0.048005908419497784,1,0.05938697318007663,0.00967741935483871
10,5,1,Directed,10,239,IUC,ED,0.1848414539829853,1,0.19143356643356643,0.1342281879194631
11,6,1,Directed,11,1475,Index_IUC,ED,0.08967655642023346,1,0.08967655642023346,0.08967655642023346
12,0,2,Directed,12,122,999,End,0.1383219954648526,1,0.14116094986807387,0.12096774193548387
13,1,2,Directed,13,1737,ED,End,0.6045945005221023,1,0.6175115207373272,0.5411522633744856
14,3,2,Directed,14,3852,GP,End,0.6310615989515073,1,0.6055427251732102,0.645087585681645
15,4,2,Directed,15,1135,IP,End,0.8382570162481536,1,0.8333333333333334,0.8548387096774194
16,5,2,Directed,16,475,IUC,End,0.36736272235112144,1,0.3732517482517482,0.3221476510067114
17,6,2,Directed,17,9127,Index_IUC,End,0.5549002918287937,1,0.5549002918287937,0.5549002918287937
18,0,3,Directed,18,33,999,GP,0.03741496598639456,1,0.030343007915567283,0.08064516129032258
19,1,3,Directed,19,142,ED,GP,0.04942568743473721,1,0.0427314620863008,0.0823045267489712
20,3,3,Directed,20,1151,GP,GP,0.188564875491481,1,0.21108545034642032,0.17618684945417618
21,4,3,Directed,21,45,IP,GP,0.03323485967503693,1,0.02586206896551724,0.05806451612903226
22,5,3,Directed,22,258,IUC,GP,0.19953596287703015,1,0.1861888111888112,0.30201342281879195
23,6,3,Directed,23,4475,Index_IUC,GP,0.27206955252918286,1,0.27206955252918286,0.27206955252918286
24,0,4,Directed,24,43,999,IP,0.048752834467120185,1,0.051451187335092345,0.03225806451612903
25,1,4,Directed,25,821,ED,IP,0.2857640097459102,1,0.2744030163385002,0.34156378600823045
26,3,4,Directed,26,163,GP,IP,0.026703800786369594,1,0.019399538106235566,0.03071845646103072
27,4,4,Directed,27,58,IP,IP,0.04283604135893648,1,0.03735632183908046,0.06129032258064516
28,5,4,Directed,28,13,IUC,IP,0.010054137664346482,1,0.011363636363636364,0.0
29,6,4,Directed,29,256,Index_IUC,IP,0.01556420233463035,1,0.01556420233463035,0.01556420233463035
30,0,5,Directed,30,28,999,IUC,0.031746031746031744,1,0.03562005277044855,0.008064516129032258
31,1,5,Directed,31,75,ED,IUC,0.02610511660285416,1,0.028906577293674067,0.012345679012345678
32,3,5,Directed,32,240,GP,IUC,0.039318479685452164,1,0.05404157043879908,0.031226199543031227
33,4,5,Directed,33,23,IP,IUC,0.016986706056129987,1,0.019157088122605363,0.00967741935483871
34,5,5,Directed,34,161,IUC,IUC,0.12451662799690642,1,0.12674825174825174,0.10738255033557047
35,6,5,Directed,35,766,Index_IUC,IUC,0.04657101167315175,1,0.04657101167315175,0.04657101167315175
36,0,0,Directed,0,278,999,999,0.2564575645756458,2,0.26,0.23134328358208955
37,1,0,Directed,1,42,ED,999,0.011320754716981131,2,0.013028280902446775,0.0017761989342806395
38,3,0,Directed,2,160,GP,999,0.01893267068985919,2,0.021015761821366025,0.01706331387516839
39,4,0,Directed,3,37,IP,999,0.02442244224422442,2,0.026512013256006627,0.016233766233766232
40,5,0,Directed,4,219,IUC,999,0.12799532437171246,2,0.12932723709993468,0.11666666666666667
41,6,0,Directed,5,346,Index_IUC,999,0.016630617639990387,2,0.016630617639990387,0.016630617639990387
42,0,1,Directed,6,553,999,ED,0.5101476014760148,2,0.49473684210526314,0.6194029850746269
43,1,1,Directed,7,91,ED,ED,0.024528301886792454,2,0.022878932316491896,0.03374777975133215
44,3,1,Directed,8,719,GP,ED,0.08507868891255473,2,0.07280460345258945,0.09609339919173776
45,4,1,Directed,9,77,IP,ED,0.050825082508250824,2,0.06213753106876554,0.006493506493506494
46,5,1,Directed,10,302,IUC,ED,0.1765049678550555,2,0.17766165904637493,0.16666666666666666
47,6,1,Directed,11,1959,Index_IUC,ED,0.09416005767844268,2,0.09416005767844268,0.09416005767844268
48,0,2,Directed,12,135,999,End,0.12453874538745388,2,0.1336842105263158,0.05970149253731343
49,1,2,Directed,13,2309,ED,End,0.6223719676549865,2,0.6387035271687321,0.5310834813499112
50,3,2,Directed,14,5226,GP,End,0.6183883564075258,2,0.6167125344008006,0.619892231701841
51,4,2,Directed,15,1237,IP,End,0.8165016501650165,2,0.8102734051367025,0.8409090909090909
52,5,2,Directed,16,634,IUC,End,0.3705435417884278,2,0.3768778576094056,0.31666666666666665
53,6,2,Directed,17,11296,Index_IUC,End,0.5429464071136746,2,0.5429464071136746,0.5429464071136746
54,0,3,Directed,18,25,999,GP,0.023062730627306273,2,0.021052631578947368,0.03731343283582089
55,1,3,Directed,19,230,ED,GP,0.06199460916442048,2,0.06005719733079123,0.07282415630550622
56,3,3,Directed,20,1872,GP,GP,0.2215122470713525,2,0.232424318238679,0.21171980242478672
57,4,3,Directed,21,79,IP,GP,0.05214521452145215,2,0.04473902236951118,0.08116883116883117
58,5,3,Directed,22,356,IUC,GP,0.20806545879602573,2,0.19399085564990204,0.3277777777777778
59,6,3,Directed,23,5881,Index_IUC,GP,0.2826724345109349,2,0.2826724345109349,0.2826724345109349
60,0,4,Directed,24,46,999,IP,0.042435424354243544,2,0.0431578947368421,0.03731343283582089
61,1,4,Directed,25,963,ED,IP,0.2595687331536388,2,0.24435970765808707,0.34458259325044405
62,3,4,Directed,26,171,GP,IP,0.02023429179978701,2,0.01926444833625219,0.021104625056129322
63,4,4,Directed,27,63,IP,IP,0.041584158415841586,2,0.03976801988400994,0.048701298701298704
64,5,4,Directed,28,22,IUC,IP,0.012857977790765635,2,0.014369693011103853,0.0
65,6,4,Directed,29,245,Index_IUC,IP,0.011776015380918048,2,0.011776015380918048,0.011776015380918048
66,0,5,Directed,30,47,999,IUC,0.043357933579335796,2,0.04736842105263158,0.014925373134328358
67,1,5,Directed,31,75,ED,IUC,0.02021563342318059,2,0.020972354623450904,0.015985790408525755
68,3,5,Directed,32,303,GP,IUC,0.03585374511892084,2,0.03777833375031273,0.03412662775033678
69,4,5,Directed,33,22,IP,IUC,0.014521452145214522,2,0.016570008285004142,0.006493506493506494
70,5,5,Directed,34,178,IUC,IUC,0.10403272939801286,2,0.1077726975832789,0.07222222222222222
71,6,5,Directed,35,1078,Index_IUC,IUC,0.051814467676039415,2,0.051814467676039415,0.051814467676039415
72,0,0,Directed,0,187,999,999,0.26008344923504867,3,0.2595419847328244,0.265625
73,1,0,Directed,1,27,ED,999,0.00980392156862745,3,0.010313531353135313,0.006060606060606061
74,3,0,Directed,2,80,GP,999,0.013729191693839024,3,0.01683848797250859,0.01062735687350017
75,4,0,Directed,3,21,IP,999,0.02066929133858268,3,0.022779043280182234,0.007246376811594203
76,5,0,Directed,4,141,IUC,999,0.11652892561983472,3,0.11625794732061762,0.11926605504587157
77,6,0,Directed,5,262,Index_IUC,999,0.01695902647420545,3,0.01695902647420545,0.01695902647420545
78,0,1,Directed,6,348,999,ED,0.48400556328233657,3,0.4778625954198473,0.546875
79,1,1,Directed,7,73,ED,ED,0.026506899055918662,3,0.02599009900990099,0.030303030303030304
80,3,1,Directed,8,495,GP,ED,0.08494937360562897,3,0.07835051546391752,0.09153239629756599
81,4,1,Directed,9,51,IP,ED,0.05019685039370079,3,0.05580865603644647,0.014492753623188406
82,5,1,Directed,10,213,IUC,ED,0.17603305785123968,3,0.17983651226158037,0.13761467889908258
83,6,1,Directed,11,1559,Index_IUC,ED,0.10091268043239045,3,0.10091268043239045,0.10091268043239045
84,0,2,Directed,12,96,999,End,0.13351877607788595,3,0.13587786259541984,0.109375
85,1,2,Directed,13,1844,ED,End,0.6695715323166304,3,0.6745049504950495,0.6333333333333333
86,3,2,Directed,14,3536,GP,End,0.6068302728676849,3,0.5969072164948453,0.6167295166266712
87,4,2,Directed,15,854,IP,End,0.8405511811023622,3,0.8382687927107062,0.855072463768116
88,5,2,Directed,16,492,IUC,End,0.4066115702479339,3,0.4214350590372389,0.25688073394495414
89,6,2,Directed,17,8690,Index_IUC,End,0.5624959544307074,3,0.5624959544307074,0.5624959544307074
90,0,3,Directed,18,18,999,GP,0.025034770514603615,3,0.022900763358778626,0.046875
91,1,3,Directed,19,144,ED,GP,0.05228758169934641,3,0.04826732673267327,0.08181818181818182
92,3,3,Directed,20,1429,GP,GP,0.24523768663119958,3,0.2570446735395189,0.23345903325334247
93,4,3,Directed,21,37,IP,GP,0.03641732283464567,3,0.030751708428246014,0.07246376811594203
94,5,3,Directed,22,234,IUC,GP,0.1933884297520661,3,0.17529518619436876,0.3761467889908257
95,6,3,Directed,23,3936,Index_IUC,GP,0.2547737717651628,3,0.2547737717651628,0.2547737717651628
96,0,4,Directed,24,26,999,IP,0.03616133518776078,3,0.03969465648854962,0.0
97,1,4,Directed,25,609,ED,IP,0.22113289760348584,3,0.21947194719471946,0.23333333333333334
98,3,4,Directed,26,99,GP,IP,0.016989874721125793,3,0.01718213058419244,0.016798080219403495
99,4,4,Directed,27,45,IP,IP,0.04429133858267716,3,0.04328018223234624,0.050724637681159424
100,5,4,Directed,28,16,IUC,IP,0.013223140495867768,3,0.013623978201634877,0.009174311926605505
101,6,4,Directed,29,208,Index_IUC,IP,0.013463654605476083,3,0.013463654605476083,0.013463654605476083
102,0,5,Directed,30,44,999,IUC,0.061196105702364396,3,0.06412213740458016,0.03125
103,1,5,Directed,31,57,ED,IUC,0.020697167755991286,3,0.02145214521452145,0.015151515151515152
104,3,5,Directed,32,188,GP,IUC,0.03226360048052171,3,0.03367697594501718,0.030853616729516628
105,4,5,Directed,33,8,IP,IUC,0.007874015748031496,3,0.009111617312072893,0.0
106,5,5,Directed,34,114,IUC,IUC,0.09421487603305785,3,0.09355131698455948,0.10091743119266056
107,6,5,Directed,35,794,Index_IUC,IUC,0.05139491229205774,3,0.05139491229205774,0.05139491229205774
108,0,0,Directed,0,170,999,999,0.22757697456492637,4,0.23667711598746083,0.1743119266055046
109,1,0,Directed,1,30,ED,999,0.010284538909838875,4,0.011272141706924315,0.004618937644341801
110,3,0,Directed,2,140,GP,999,0.016712426883132386,4,0.017162194827169446,0.016273584905660377
111,4,0,Directed,3,26,IP,999,0.02034428794992175,4,0.023651844843897825,0.004524886877828055
112,5,0,Directed,4,127,IUC,999,0.09599395313681028,4,0.09437229437229437,0.10714285714285714
113,6,0,Directed,5,252,Index_IUC,999,0.013843111404087014,4,0.013843111404087014,0.013843111404087014
114,0,1,Directed,6,412,999,ED,0.5515394912985274,4,0.5344827586206896,0.6513761467889908
115,1,1,Directed,7,95,ED,ED,0.03256770654782311,4,0.03421900161030596,0.023094688221709007
116,3,1,Directed,8,630,GP,ED,0.07520592097409574,4,0.07420836354846506,0.07617924528301886
117,4,1,Directed,9,60,IP,ED,0.046948356807511735,4,0.05487228003784295,0.00904977375565611
118,5,1,Directed,10,231,IUC,ED,0.1746031746031746,4,0.1774891774891775,0.15476190476190477
119,6,1,Directed,11,1482,Index_IUC,ED,0.08141067897165458,4,0.08141067897165458,0.08141067897165458
120,0,2,Directed,12,89,999,End,0.11914323962516733,4,0.12852664576802508,0.06422018348623854
121,1,2,Directed,13,1801,ED,End,0.6174151525539938,4,0.6256038647342995,0.5704387990762124
122,3,2,Directed,14,4986,GP,End,0.5952011459949863,4,0.5881073241479333,0.602122641509434
123,4,2,Directed,15,1069,IP,End,0.8364632237871674,4,0.8221381267738883,0.9049773755656109
124,5,2,Directed,16,512,IUC,End,0.3869992441421013,4,0.4051948051948052,0.2619047619047619
125,6,2,Directed,17,9778,Index_IUC,End,0.537134695671281,4,0.537134695671281,0.537134695671281
126,0,3,Directed,18,31,999,GP,0.041499330655957165,4,0.03918495297805643,0.05504587155963303
127,1,3,Directed,19,171,ED,GP,0.05862187178608159,4,0.055958132045088566,0.07390300230946882
128,3,3,Directed,20,2196,GP,GP,0.26214635310970513,4,0.2697606961566352,0.25471698113207547
129,4,3,Directed,21,49,IP,GP,0.03834115805946792,4,0.03784295175023652,0.04072398190045249
130,5,3,Directed,22,323,IUC,GP,0.24414210128495842,4,0.22251082251082252,0.39285714285714285
131,6,3,Directed,23,5593,Index_IUC,GP,0.30724016699626455,4,0.30724016699626455,0.30724016699626455
132,0,4,Directed,24,23,999,IP,0.030789825970548863,4,0.029780564263322883,0.03669724770642202
133,1,4,Directed,25,753,ED,IP,0.2581419266369558,4,0.250805152979066,0.3002309468822171
134,3,4,Directed,26,190,GP,IP,0.02268115076996538,4,0.027314479091128836,0.018160377358490565
135,4,4,Directed,27,66,IP,IP,0.051643192488262914,4,0.05487228003784295,0.03619909502262444
136,5,4,Directed,28,12,IUC,IP,0.009070294784580499,4,0.009523809523809525,0.005952380952380952
137,6,4,Directed,29,229,Index_IUC,IP,0.012579652823555262,4,0.012579652823555262,0.012579652823555262
138,0,5,Directed,30,22,999,IUC,0.029451137884872823,4,0.03134796238244514,0.01834862385321101
139,1,5,Directed,31,67,ED,IUC,0.02296880356530682,4,0.02214170692431562,0.02771362586605081
140,3,5,Directed,32,235,GP,IUC,0.028053002268115076,4,0.023446942228668118,0.032547169811320754
141,4,5,Directed,33,8,IP,IUC,0.006259780907668232,4,0.006622516556291391,0.004524886877828055
