day,hour,P_ID
Sun,0,266
Sun,1,186
Sun,2,168
Sun,3,116
Sun,4,122
Sun,5,140
Sun,6,230
Sun,7,370
Sun,8,736
Sun,9,1059
Sun,10,1115
Sun,11,1228
Sun,12,1119
Sun,13,990
Sun,14,902
Sun,15,827
Sun,16,788
Sun,17,752
Sun,18,677
Sun,19,633
Sun,20,564
Sun,21,475
Sun,22,387
Sun,23,272
Mon,0,200
Mon,1,122
Mon,2,97
Mon,3,100
Mon,4,110
Mon,5,100
Mon,6,128
Mon,7,224
Mon,8,519
Mon,9,628
Mon,10,620
Mon,11,583
Mon,12,501
Mon,13,502
Mon,14,485
Mon,15,442
Mon,16,440
Mon,17,403
Mon,18,715
Mon,19,702
Mon,20,576
Mon,21,503
Mon,22,378
Mon,23,248
Tue,0,208
Tue,1,121
Tue,2,124
Tue,3,99
Tue,4,87
Tue,5,72
Tue,6,121
Tue,7,212
Tue,8,345
Tue,9,418
Tue,10,462
Tue,11,411
Tue,12,389
Tue,13,414
Tue,14,358
Tue,15,334
Tue,16,346
Tue,17,364
Tue,18,675
Tue,19,593
Tue,20,594
Tue,21,513
Tue,22,372
Tue,23,266
Wed,0,175
Wed,1,146
Wed,2,127
Wed,3,95
Wed,4,73
Wed,5,90
Wed,6,119
Wed,7,175
Wed,8,344
Wed,9,387
Wed,10,402
Wed,11,411
Wed,12,324
Wed,13,354
Wed,14,372
Wed,15,381
Wed,16,377
Wed,17,341
Wed,18,641
Wed,19,608
Wed,20,607
Wed,21,500
Wed,22,393
Wed,23,289
Thu,0,183
Thu,1,124
Thu,2,96
Thu,3,102
Thu,4,88
Thu,5,78
Thu,6,142
Thu,7,173
Thu,8,302
Thu,9,365
Thu,10,413
Thu,11,381
Thu,12,313
Thu,13,300
Thu,14,371
Thu,15,365
Thu,16,347
Thu,17,314
Thu,18,652
Thu,19,633
Thu,20,512
Thu,21,446
Thu,22,349
Thu,23,282
Fri,0,196
Fri,1,149
Fri,2,110
Fri,3,103
Fri,4,92
Fri,5,89
Fri,6,126
Fri,7,181
Fri,8,342
Fri,9,404
Fri,10,445
Fri,11,416
Fri,12,396
Fri,13,368
Fri,14,424
Fri,15,390
Fri,16,390
Fri,17,358
Fri,18,783
Fri,19,719
Fri,20,644
Fri,21,581
Fri,22,490
Fri,23,367
Sat,0,226
Sat,1,168
Sat,2,145
Sat,3,129
Sat,4,144
Sat,5,131
Sat,6,244
Sat,7,469
Sat,8,965
Sat,9,1266
Sat,10,1306
Sat,11,1368
Sat,12,1182
Sat,13,1171
Sat,14,986
Sat,15,908
Sat,16,909
Sat,17,843
Sat,18,793
Sat,19,702
Sat,20,628
Sat,21,596
Sat,22,478
Sat,23,398
