,activity,quarter,count,data
0,999,1,866,cYorkshire2021
1,999,2,1013,cYorkshire2021
2,999,3,612,cYorkshire2021
3,999,4,757,cYorkshire2021
4,ED,1,3057,cYorkshire2021
5,ED,2,3931,cYorkshire2021
6,ED,3,2681,cYorkshire2021
7,ED,4,3017,cYorkshire2021
8,GP,1,8149,cYorkshire2021
9,GP,2,10153,cYorkshire2021
10,GP,3,6410,cYorkshire2021
11,GP,4,8342,cYorkshire2021
12,IP,1,1372,cYorkshire2021
13,IP,2,1526,cYorkshire2021
14,IP,3,975,cYorkshire2021
15,IP,4,1287,cYorkshire2021
16,IUC,1,2404,cYorkshire2021
17,IUC,2,3159,cYorkshire2021
18,IUC,3,2016,cYorkshire2021
19,IUC,4,2545,cYorkshire2021
