source,target,counts2
999_1,999_2,31
999_1,ED_2,985
999_1,End_2,194
999_1,GP_2,43
999_1,IP_2,38
999_1,IUC_2,43
999_10,ED_11,1
999_11,ED_12,1
999_11,End_12,1
999_2,999_3,13
999_2,ED_3,677
999_2,End_3,191
999_2,GP_3,51
999_2,IP_3,38
999_2,IUC_3,37
999_3,999_4,8
999_3,ED_4,276
999_3,End_4,99
999_3,GP_4,38
999_3,IP_4,34
999_3,IUC_4,23
999_4,999_5,4
999_4,ED_5,111
999_4,End_5,59
999_4,GP_5,20
999_4,IP_5,13
999_4,IUC_5,10
999_5,999_6,5
999_5,ED_6,50
999_5,End_6,22
999_5,GP_6,13
999_5,IP_6,10
999_5,IUC_6,12
999_6,ED_7,31
999_6,End_7,9
999_6,GP_7,5
999_6,IP_7,2
999_6,IUC_7,5
999_7,999_8,1
999_7,ED_8,13
999_7,End_8,7
999_7,GP_8,5
999_7,IP_8,1
999_7,IUC_8,1
999_8,ED_9,4
999_8,End_9,5
999_8,GP_9,2
999_9,ED_10,2
999_9,End_10,4
ED_1,999_2,61
ED_1,ED_2,179
ED_1,End_2,3878
ED_1,GP_2,282
ED_1,IP_2,1111
ED_1,IUC_2,186
ED_10,End_11,4
ED_11,IP_12,1
ED_12,End_13,1
ED_12,IP_13,1
ED_2,999_3,70
ED_2,ED_3,84
ED_2,End_3,2193
ED_2,GP_3,347
ED_2,IP_3,1015
ED_2,IUC_3,140
ED_3,999_4,31
ED_3,ED_4,35
ED_3,End_4,941
ED_3,GP_4,249
ED_3,IP_4,516
ED_3,IUC_4,75
ED_4,999_5,18
ED_4,ED_5,13
ED_4,End_5,346
ED_4,GP_5,114
ED_4,IP_5,207
ED_4,IUC_5,31
ED_5,999_6,9
ED_5,ED_6,8
ED_5,End_6,167
ED_5,GP_6,50
ED_5,IP_6,64
ED_5,IUC_6,15
ED_6,999_7,4
ED_6,End_7,60
ED_6,GP_7,26
ED_6,IP_7,43
ED_6,IUC_7,2
ED_7,999_8,2
ED_7,ED_8,1
ED_7,End_8,29
ED_7,GP_8,11
ED_7,IP_8,17
ED_7,IUC_8,2
ED_8,ED_9,1
ED_8,End_9,18
ED_8,GP_9,4
ED_8,IP_9,5
ED_8,IUC_9,2
ED_9,ED_10,1
ED_9,End_10,5
ED_9,GP_10,3
ED_9,IP_10,4
ED_9,IUC_10,1
GP_1,999_2,344
GP_1,ED_2,1561
GP_1,End_2,9740
GP_1,GP_2,5877
GP_1,IP_2,260
GP_1,IUC_2,1117
GP_10,End_11,7
GP_10,GP_11,107
GP_10,IP_11,35
GP_11,ED_12,1
GP_11,End_12,4
GP_11,GP_12,63
GP_11,IP_12,41
GP_12,End_13,2
GP_12,GP_13,26
GP_12,IP_13,35
GP_13,End_14,1
GP_13,GP_14,2
GP_13,IP_14,25
GP_13,IUC_14,1
GP_14,End_15,2
GP_2,999_3,157
GP_2,ED_3,735
GP_2,End_3,4180
GP_2,GP_3,1883
GP_2,IP_3,184
GP_2,IUC_3,382
GP_3,999_4,85
GP_3,ED_4,291
GP_3,End_4,1493
GP_3,GP_4,795
GP_3,IP_4,116
GP_3,IUC_4,125
GP_4,999_5,40
GP_4,ED_5,133
GP_4,End_5,570
GP_4,GP_5,499
GP_4,IP_5,69
GP_4,IUC_5,61
GP_5,999_6,15
GP_5,ED_6,54
GP_5,End_6,254
GP_5,GP_6,349
GP_5,IP_6,70
GP_5,IUC_6,18
GP_6,999_7,10
GP_6,ED_7,22
GP_6,End_7,107
GP_6,GP_7,274
GP_6,IP_7,43
GP_6,IUC_7,11
GP_7,999_8,2
GP_7,ED_8,13
GP_7,End_8,46
GP_7,GP_8,220
GP_7,IP_8,46
GP_7,IUC_8,6
GP_8,999_9,3
GP_8,ED_9,8
GP_8,End_9,23
GP_8,GP_9,177
GP_8,IP_9,38
GP_8,IUC_9,1
GP_9,999_10,1
GP_9,ED_10,1
GP_9,End_10,19
GP_9,GP_10,140
GP_9,IP_10,33
GP_9,IUC_10,1
Index_IUC_1,999_1,1334
Index_IUC_1,ED_1,5697
Index_IUC_1,End_1,38048
Index_IUC_1,GP_1,18899
Index_IUC_1,IP_1,719
Index_IUC_1,IUC_1,6426
IP_1,999_2,11
IP_1,ED_2,60
IP_1,End_2,575
IP_1,GP_2,15
IP_1,IP_2,49
IP_1,IUC_2,9
IP_10,999_11,1
IP_10,End_11,34
IP_10,GP_11,2
IP_11,End_12,35
IP_12,End_13,39
IP_12,GP_13,3
IP_13,End_14,36
IP_14,End_15,25
IP_2,999_3,8
IP_2,ED_3,34
IP_2,End_3,1342
IP_2,GP_3,46
IP_2,IP_3,87
IP_2,IUC_3,16
IP_3,999_4,6
IP_3,ED_4,9
IP_3,End_4,1220
IP_3,GP_4,43
IP_3,IP_4,44
IP_3,IUC_4,19
IP_4,999_5,4
IP_4,ED_5,5
IP_4,End_5,648
IP_4,GP_5,31
IP_4,IP_5,21
IP_4,IUC_5,5
IP_5,999_6,2
IP_5,ED_6,3
IP_5,End_6,281
IP_5,GP_6,18
IP_5,IP_6,8
IP_5,IUC_6,3
IP_6,999_7,1
IP_6,ED_7,5
IP_6,End_7,134
IP_6,GP_7,10
IP_6,IP_7,3
IP_6,IUC_7,1
IP_7,999_8,1
IP_7,End_8,80
IP_7,GP_8,6
IP_7,IP_8,3
IP_7,IUC_8,1
IP_8,999_9,1
IP_8,End_9,59
IP_8,GP_9,7
IP_8,IP_9,2
IP_9,End_10,39
IP_9,GP_10,6
IUC_1,999_2,560
IUC_1,ED_2,1064
IUC_1,End_2,2600
IUC_1,GP_2,1304
IUC_1,IP_2,75
IUC_1,IUC_2,823
IUC_10,999_11,1
IUC_10,End_11,3
IUC_14,End_15,1
IUC_2,999_3,230
IUC_2,ED_3,317
IUC_2,End_3,738
IUC_2,GP_3,578
IUC_2,IP_3,17
IUC_2,IUC_3,298
IUC_3,999_4,87
IUC_3,ED_4,118
IUC_3,End_4,307
IUC_3,GP_4,247
IUC_3,IP_4,4
IUC_3,IUC_4,110
IUC_4,999_5,46
IUC_4,ED_5,51
IUC_4,End_5,112
IUC_4,GP_5,96
IUC_4,IP_5,5
IUC_4,IUC_5,42
IUC_5,999_6,21
IUC_5,ED_6,20
IUC_5,End_6,39
IUC_5,GP_6,37
IUC_5,IP_6,2
IUC_5,IUC_6,30
IUC_6,999_7,13
IUC_6,ED_7,4
IUC_6,End_7,23
IUC_6,GP_7,18
IUC_6,IUC_7,20
IUC_7,999_8,5
IUC_7,ED_8,3
IUC_7,End_8,12
IUC_7,GP_8,8
IUC_7,IP_8,2
IUC_7,IUC_8,9
IUC_8,999_9,2
IUC_8,ED_9,1
IUC_8,End_9,9
IUC_8,GP_9,5
IUC_8,IUC_9,2
IUC_9,End_10,3
IUC_9,IUC_10,2
